travel_date,month,month_name,year,origin,destination,airline,booking_window,seasonal_mult,base_price,final_price
2023-09-08,9,September,2023,New York (JFK),Tokyo (NRT),United Airlines,64,1.05,1153,1193.63
2024-11-23,11,November,2024,Los Angeles (LAX),Osaka (KIX),Japan Airlines,146,1.25,874,1077.07
2023-02-02,2,February,2023,New York (JFK),Osaka (KIX),Delta Airlines,14,0.85,1282,1040.01
2024-06-01,6,June,2024,New York (JFK),Tokyo (NRT),ANA,161,0.88,1235,930.68
2024-10-27,10,October,2024,New York (JFK),Osaka (KIX),ANA,146,1.3,1318,1656.22
2024-08-26,8,August,2024,Chicago (ORD),Tokyo (NRT),Delta Airlines,78,0.95,1141,976.39
2023-12-15,12,December,2023,New York (JFK),Tokyo (NRT),Delta Airlines,78,1.0,1200,1250.21
2023-04-15,4,April,2023,Los Angeles (LAX),Tokyo (NRT),United Airlines,30,1.55,735,1098.38
2023-12-19,12,December,2023,Chicago (ORD),Tokyo (NRT),United Airlines,161,1.0,1082,956.13
2024-07-03,7,July,2024,San Francisco (SFO),Tokyo (NRT),Delta Airlines,38,0.92,859,822.35
2023-10-28,10,October,2023,Chicago (ORD),Tokyo (NRT),American Airlines,167,1.3,1106,1317.77
2023-07-16,7,July,2023,Seattle (SEA),Tokyo (HND),American Airlines,24,0.92,800,746.57
2023-10-24,10,October,2023,New York (JFK),Osaka (KIX),ANA,27,1.3,1318,1902.3
2023-10-12,10,October,2023,Los Angeles (LAX),Tokyo (NRT),Delta Airlines,123,1.3,838,936.36
2023-12-30,12,December,2023,San Francisco (SFO),Tokyo (NRT),United Airlines,60,1.0,765,745.41
2024-09-15,9,September,2024,San Francisco (SFO),Osaka (KIX),Japan Airlines,169,1.05,941,907.48
2023-06-17,6,June,2023,Los Angeles (LAX),Osaka (KIX),ANA,125,0.88,808,614.79
2023-08-13,8,August,2023,Chicago (ORD),Tokyo (HND),American Airlines,90,0.95,1082,1088.78
2023-11-20,11,November,2023,New York (JFK),Tokyo (NRT),Japan Airlines,109,1.25,1294,1370.2
2024-08-03,8,August,2024,San Francisco (SFO),Tokyo (NRT),ANA,87,0.95,824,801.72
2024-02-10,2,February,2024,Los Angeles (LAX),Osaka (KIX),Delta Airlines,171,0.85,847,605.26
2023-05-23,5,May,2023,Chicago (ORD),Tokyo (NRT),United Airlines,70,1.4,1082,1363.9
2024-08-21,8,August,2024,Seattle (SEA),Osaka (KIX),United Airlines,116,0.95,847,712.3
2023-08-13,8,August,2023,Seattle (SEA),Tokyo (HND),United Airlines,42,0.95,800,789.23
2023-02-18,2,February,2023,Seattle (SEA),Tokyo (HND),Japan Airlines,35,0.85,871,781.61
2024-11-27,11,November,2024,Los Angeles (LAX),Osaka (KIX),ANA,115,1.25,808,1067.37
2024-01-26,1,January,2024,Seattle (SEA),Tokyo (NRT),Delta Airlines,159,0.82,871,758.4
2024-07-20,7,July,2024,Chicago (ORD),Osaka (KIX),United Airlines,9,0.92,1165,1250.39
2023-10-01,10,October,2023,New York (JFK),Osaka (KIX),American Airlines,171,1.3,1247,1311.45
2024-03-21,3,March,2024,San Francisco (SFO),Tokyo (NRT),United Airlines,47,1.45,765,961.27
2024-05-27,5,May,2024,Chicago (ORD),Tokyo (NRT),United Airlines,52,1.4,1082,1428.62
2024-10-16,10,October,2024,Seattle (SEA),Tokyo (NRT),United Airlines,136,1.3,800,1023.43
2024-01-18,1,January,2024,Seattle (SEA),Tokyo (NRT),ANA,48,0.82,847,650.12
2024-09-05,9,September,2024,Seattle (SEA),Osaka (KIX),Japan Airlines,89,1.05,965,931.63
2024-01-07,1,January,2024,Chicago (ORD),Tokyo (NRT),Japan Airlines,85,0.82,1235,926.65
2024-08-03,8,August,2024,Los Angeles (LAX),Tokyo (NRT),ANA,27,0.95,795,841.48
2023-03-12,3,March,2023,New York (JFK),Osaka (KIX),Delta Airlines,143,1.45,1282,1561.94
2024-07-16,7,July,2024,Los Angeles (LAX),Tokyo (NRT),Delta Airlines,49,0.92,838,810.06
2024-03-09,3,March,2024,San Francisco (SFO),Osaka (KIX),American Airlines,61,1.45,835,1231.79
2024-12-31,12,December,2024,Seattle (SEA),Osaka (KIX),ANA,86,1.0,894,827.45
2024-03-24,3,March,2024,Chicago (ORD),Osaka (KIX),United Airlines,139,1.45,1165,1719.1
2023-08-19,8,August,2023,Chicago (ORD),Tokyo (NRT),ANA,23,0.95,1153,1080.6
2024-07-21,7,July,2024,San Francisco (SFO),Tokyo (NRT),American Airlines,65,0.92,788,673.22
2023-03-14,3,March,2023,Seattle (SEA),Tokyo (NRT),Japan Airlines,168,1.45,918,1316.5
2023-02-02,2,February,2023,New York (JFK),Tokyo (NRT),Japan Airlines,91,0.85,1294,1108.95
2023-10-13,10,October,2023,New York (JFK),Osaka (KIX),ANA,178,1.3,1318,1470.08
2023-05-16,5,May,2023,Chicago (ORD),Tokyo (NRT),American Airlines,153,1.4,1106,1530.99
2024-04-29,4,April,2024,Seattle (SEA),Tokyo (HND),ANA,111,1.55,824,1257.48
2024-11-05,11,November,2024,Los Angeles (LAX),Tokyo (NRT),Japan Airlines,117,1.25,870,1004.29
2024-04-23,4,April,2024,San Francisco (SFO),Tokyo (HND),Delta Airlines,20,1.55,835,1185.86
2023-12-14,12,December,2023,New York (JFK),Tokyo (NRT),Delta Airlines,34,1.0,1200,1174.47
2024-07-03,7,July,2024,Los Angeles (LAX),Tokyo (NRT),ANA,121,0.92,795,646.94
2023-10-13,10,October,2023,Los Angeles (LAX),Tokyo (HND),ANA,125,1.3,779,1003.29
2024-07-17,7,July,2024,Los Angeles (LAX),Tokyo (NRT),Delta Airlines,32,0.92,838,843.56
2023-01-16,1,January,2023,New York (JFK),Osaka (KIX),American Airlines,30,0.82,1247,984.67
2024-05-12,5,May,2024,Los Angeles (LAX),Tokyo (NRT),Delta Airlines,130,1.4,838,996.48
2023-06-18,6,June,2023,Los Angeles (LAX),Tokyo (HND),Japan Airlines,104,0.88,811,750.07
2024-04-10,4,April,2024,New York (JFK),Tokyo (HND),United Airlines,80,1.55,1153,1864.66
2024-11-08,11,November,2024,Chicago (ORD),Osaka (KIX),American Airlines,131,1.25,1188,1428.79
2023-08-11,8,August,2023,Los Angeles (LAX),Tokyo (NRT),United Airlines,21,0.95,735,832.89
2023-03-04,3,March,2023,Seattle (SEA),Osaka (KIX),American Airlines,87,1.45,871,1373.4
2024-05-03,5,May,2024,New York (JFK),Tokyo (NRT),American Airlines,135,1.4,1165,1388.04
2024-06-04,6,June,2024,Seattle (SEA),Tokyo (NRT),Japan Airlines,27,0.88,918,812.12
2023-03-11,3,March,2023,Los Angeles (LAX),Tokyo (NRT),American Airlines,179,1.45,759,1134.17
2024-08-06,8,August,2024,Los Angeles (LAX),Tokyo (HND),Japan Airlines,70,0.95,811,669.6
2024-09-26,9,September,2024,Seattle (SEA),Osaka (KIX),Japan Airlines,27,1.05,965,1041.71
2024-08-01,8,August,2024,Chicago (ORD),Osaka (KIX),American Airlines,140,0.95,1188,933.73
2024-11-16,11,November,2024,San Francisco (SFO),Tokyo (HND),ANA,87,1.25,800,1076.01
2023-05-15,5,May,2023,Los Angeles (LAX),Tokyo (HND),Delta Airlines,178,1.4,882,1170.01
2023-03-16,3,March,2023,San Francisco (SFO),Tokyo (HND),United Airlines,9,1.45,765,1229.96
2023-04-13,4,April,2023,Chicago (ORD),Osaka (KIX),American Airlines,25,1.55,1188,2153.65
2023-09-29,9,September,2023,Seattle (SEA),Tokyo (NRT),American Airlines,40,1.05,824,915.74
2024-01-14,1,January,2024,San Francisco (SFO),Tokyo (NRT),ANA,79,0.82,824,610.41
2024-12-21,12,December,2024,Los Angeles (LAX),Tokyo (HND),American Airlines,84,1.0,759,767.42
2023-01-09,1,January,2023,Seattle (SEA),Osaka (KIX),American Airlines,177,0.82,871,576.84
2023-05-18,5,May,2023,Seattle (SEA),Tokyo (HND),Japan Airlines,74,1.4,871,1294.39
2023-06-09,6,June,2023,New York (JFK),Tokyo (NRT),American Airlines,76,0.88,1165,923.07
2023-12-18,12,December,2023,San Francisco (SFO),Osaka (KIX),ANA,59,1.0,871,940.37
2023-09-15,9,September,2023,San Francisco (SFO),Osaka (KIX),Delta Airlines,20,1.05,906,1108.49
2023-10-11,10,October,2023,New York (JFK),Osaka (KIX),Delta Airlines,18,1.3,1282,1740.73
2024-10-14,10,October,2024,New York (JFK),Tokyo (HND),ANA,74,1.3,1200,1501.83
2024-07-18,7,July,2024,Los Angeles (LAX),Osaka (KIX),Delta Airlines,116,0.92,847,746.48
2023-03-19,3,March,2023,Seattle (SEA),Tokyo (NRT),Japan Airlines,45,1.45,918,1210.38
2024-08-19,8,August,2024,Seattle (SEA),Tokyo (NRT),United Airlines,148,0.95,800,652.24
2023-02-12,2,February,2023,Los Angeles (LAX),Tokyo (HND),ANA,85,0.85,779,584.08
2023-08-04,8,August,2023,San Francisco (SFO),Tokyo (NRT),United Airlines,70,0.95,765,720.71
2024-02-21,2,February,2024,New York (JFK),Tokyo (HND),American Airlines,165,0.85,1141,875.77
2023-07-01,7,July,2023,Los Angeles (LAX),Tokyo (NRT),ANA,112,0.92,795,677.93
2024-02-26,2,February,2024,New York (JFK),Tokyo (NRT),United Airlines,178,0.85,1153,937.64
2024-12-19,12,December,2024,Los Angeles (LAX),Tokyo (HND),ANA,34,1.0,779,893.25
2023-08-16,8,August,2023,Chicago (ORD),Tokyo (NRT),Delta Airlines,58,0.95,1141,998.75
2023-08-22,8,August,2023,Chicago (ORD),Tokyo (HND),United Airlines,64,0.95,1082,1145.6
2024-02-13,2,February,2024,New York (JFK),Osaka (KIX),ANA,91,0.85,1318,991.27
2023-12-26,12,December,2023,San Francisco (SFO),Tokyo (NRT),United Airlines,171,1.0,765,765.59
2023-12-06,12,December,2023,Seattle (SEA),Tokyo (HND),American Airlines,14,1.0,800,847.14
2024-08-17,8,August,2024,New York (JFK),Tokyo (HND),ANA,74,0.95,1200,1041.84
2024-03-20,3,March,2024,New York (JFK),Tokyo (NRT),American Airlines,95,1.45,1165,1734.9
2024-06-07,6,June,2024,San Francisco (SFO),Tokyo (HND),American Airlines,36,0.88,765,689.51
2023-09-18,9,September,2023,Chicago (ORD),Osaka (KIX),ANA,18,1.05,1235,1553.85
2024-07-05,7,July,2024,Chicago (ORD),Tokyo (NRT),American Airlines,178,0.92,1106,1056.66
2023-03-13,3,March,2023,Los Angeles (LAX),Tokyo (HND),Delta Airlines,177,1.45,882,1173.81
2024-11-10,11,November,2024,San Francisco (SFO),Osaka (KIX),United Airlines,38,1.25,812,1060.16
2024-11-13,11,November,2024,San Francisco (SFO),Osaka (KIX),United Airlines,111,1.25,812,916.88
2024-07-21,7,July,2024,San Francisco (SFO),Tokyo (HND),United Airlines,39,0.92,765,704.11
2024-11-24,11,November,2024,Los Angeles (LAX),Tokyo (HND),Delta Airlines,51,1.25,882,933.9
2024-02-20,2,February,2024,Seattle (SEA),Osaka (KIX),United Airlines,147,0.85,847,686.32
